BuildingNumber,StreetAddress,Landmark,Locality,City,State,PostalCode,Country
,,,SARGASAN GANDHINAGAR GANDHINAGAR,GANDHINAGAR,GJ,382421,India
,"STREET TILAK STREET, ST GODAVARI",,,KAKINADA,AP,533001,India
,,,,SARDARSHAHAR,RJ,331403,India
,,,,HANUMANGARH,RJ,335513,India
M-1,,,PHASE 3,ADITYAPUR,,832109,India
202/7,RDEZ,,,BARDEZ,GA,403507,India
,"ST, SECTOR 2",CIDCO OFFICE NEW PANVEL EAST,SECTOR 2,NAVI MUMBAI,,410206,India
S-64,ROAD,,VIDHYADHAR NAGAR,JAIPUR,RJ,302039,India
,,,,BALOD,CG,491227,India
R-68,,,SECTO INDUSTRIAL MODEL TOWNSHIP HARYANA FARIDABAD IN 121004,FARIDABAD,,121004,India
,"RD SP RINGRD BOPAL, ST ISCON AMBALI RD SP RINGRD BOPAL",,,AHMEDABAD,GJ,380058,India
R-3,,,SECTO BAWANA INDUSTRIAL AREA DELHI NEW DELHI IN 110039,DELHI,,110039,India
H-3,RDENS,,,MUMBAI,,400097,India
T-118,,,,PUNE,MH,411026,India
102,,,A BLOCK NO.  PALM BALLEGIO SHANKAR NAGAR,RAIPUR,,492001,India
19-4-355/2,,,,HYDERABAD,TS,500064,India
,RD FLOOR,,,JODHPUR,RJ,342003,India
,ROAD,,,RAMANATHAPURAM,TN,623120,India
,ROAD,,,SIRSA,,125055,India
206/1324,ROAD,,SHIVAJI NAGAR,PUNE,MH,411005,India
,,,BELLAD CHAMBERS UNKAL CROSS VIDYANAGAR,HUBLI,KA,580031,India
9,,,,RANCHI,JH,834002,India
14,ROAD,,SHIVAJI NAGAR,PUNE,MH,411004,India
,,,SECOND FLOOR RIKAB GUNJ HYDERABAD IN-TS IN 500002,HYDERABAD,TS,500002,India
D-104,,,,AHMEDABAD,GJ,382350,India
G-1047,,,,DELHI,,110040,India
,,,,KOLKATA,,700033,India
,ST LONI BK TALUKA RAHATA VILLAGE CHANDRAPUR AT POST LONI BK,,VILLAGE CHANDRAPUR AHMEDNAGAR,A RAHATA VILLAGE CHANDRAPUR AT POST LONI BK,MH,413736,India
1C,ROAD NO- VKIA,,,JAIPUR,,302013,India
21,RDENIA MABUHAY JAYABHERI PINE VALLY,,TELECOM NAGAR,GACHIBOWLI,TS,500032,India
,,,,RAEBARELI,UP,229125,India
,ROAD,,,MUMBAI,MH,400012,India
10,STORE,KUKRAIL,,LUCKNOW,UP,226015,India
1,,,,KANCHEEPURAM,TN,600122,India
648,,,NO.  ALLWIN NAGAR,KARUR,TN,639002,India
,,,OPP BANK OF BARODA NETAJI CHOWK ULHASNAGAR,ULHASNAGAR,MH,421004,India
,"RD CROSS, RD MAIN, RD, CROSS",,3RD PHASE,BANGALORE,KA,560078,India
,,,,FATEHABAD,HR,125050,India
,STATION,,,MUMBAI,MH,400077,India
,,,,GHAZIABAD,UP,201014,India
,ST RAJURI,,,PUNE,MH,412411,India
G-27,,,PHASE,PUNE,MH,410501,India
,,,,MUMBAI,MH,400005,India
,,,,SURAT,GJ,395006,India
107,,,,VASAI THANE MUMBAI IN-MH IN 401207,MH,401207,India
61/2,,,PHASE,HYDERABAD,TS,500051,India
,,,16 GANESH COLONY,INDORE,MP,452001,India
706,,,,THANE,MH,421501,India
8,,,,VALSAD,GJ,396375,India
,ROAD,PALACE ROAD RAJKOT IN-GJ IN 360002,,RAJKOT,GJ,360002,India
39/B,ROAD,,,AHMEDABAD,GJ,380058,India
134,,,,PUDUCHERRY,PY,605013,India
,,,,MANDYA IN-KA IN 571430,KA,571430,India
,,,,RAJKOT,GJ,360005,India
2,STRIAL ESTATE,,,THANE,MH,401208,India
,ROAD,,,ADILABAD,TS,504001,India
,,,GANDHI NAGAR,KADAPA,AP,516001,India
,,,,JAISALMER,RJ,345001,India
,,,,BHATAPARA,CG,493118,India
,"STATE, STRIAL ESTATE",,,AHMEDABAD,GJ,382415,India
01,CROSS,,,BENGALURU,,560084,India
28,STRIAL ESTATE,,,COIMBATORE,TN,641021,India
,,,,SANGLI,MH,416312,India
,ROAD,,KUDASAN GANDHINAGAR,GANDHINAGAR,GJ,382421,India
G-125,STRIAL AREA,,,ALWAR,RJ,301705,India
3,ROAD,,SHIVAJINAGAR,PUNE,,411004,India
,ROAD,,,SANGAREDDY,TS,502220,India
,,,,MUMBAI,MH,400013,India
,,,,MUMBAI,MH,400013,India
D-4,,,,DELHI,DL,110017,India
,,DOMINO PIZZA,,VADODARA,GJ,390023,India
,,,,DEHRADUN,UK,248001,India
117,ST FLOOR,,VIVEKNAGAR,BANGALORE,KA,560047,India
835/1,ST GATE,YMCA CLUB SUR NO +3,BLOCK NO A/1003,AHMEDABAD,GJ,380051,India
,,,,CHENNAI,TN,600086,India
A-21,STRIAL ESTATE,,,AHMEDABAD,GJ,382430,India
,ST FLOOR,,,DELHI,DL,110034,India
33,"ROAD, CROSS",,J P NAGAR,BANGALORE,KA,560078,India
,,,F - 44 BALI NAGAR,NEW DELHI,DL,110015,India
,STADIUM CIRCLE 7 SHREYAS,,SPAN HOUSE STADIUM CIRCLE 7 SHREYAS COLONY,AHMEDABAD,GJ,380009,India
4,"ROAD JAY AMBE STEEL & FABRICATION, STRIAL, STEEL & FABRICATION",,BLOCK NO.-595 PANKAJ INDUSTRIAL,SURAT,,394130,India
239,ROAD,,,MIRZAPUR,UP,231001,India
184,,,,BALLARI,,583102,India
40/5,ROAD ARUPPUKOTTAI,,VIRUDHUNAGAR,ARUPPUKOTTAI,TN,626129,India
C-710,ROAD,MITTAL ESTATE ANDHERI (EAST) MUMBAI IN-MH IN 400059,,MUMBAI,MH,400059,India
R-11,,,/200 RAJNAGAR,GHAZIABAD,UP,201001,India
3/29,,,,TUTICORIN,TN,628008,India
,,,,KADAPA,AP,516004,India
,,PRINCE PALACE UNIVERSITY ROAD RAJKOT IN-GJ IN 360005,BLOCK NO. B/9,RAJKOT,GJ,360005,India
35,"RD NO- BHUPAL REDDY COMPOUND, ROAD HAVAMBHAVI",BHARATH PETROL BUNK ASHOK NAGAR,BEHIND BHARATH PETROL BUNK ASHOK NAGAR,BALLARI,,583103,India
,,,,ERODE,TN,638476,India
,STRIES,,,NAHAN HIMACHAL PRADESH SIRMAUR IN 173030,,173030,India
,,PHARMACY COLLEGE PANJIM IN-GA IN 403001,PHARMACY COLLEGE PANJIM IN-GA IN 403001,PANJIM,GA,403001,India
,,,,MUMBAI,MH,400020,India
,,,,JAMMU,,180015,India
308,,,SEC NO 10 PCNTDA,PUNE,,411026,India
5,ST,,OLD NO. 17 SRIRAM NAGAR,CHENNAI,TN,600018,India
,RD MAIN RD RAJALAKSHMI,,3RD MAIN RD RAJALAKSHMI NAGAR,CHENNAI,TN,600042,India
38,SECTOR NO. 1 MANDI PILIBANGA RAJASTHAN HANUMANGARH IN 335803,,SECTOR NO. 1 MANDI PILIBANGA RAJASTHAN HANUMANGARH IN 335803,HANUMANGARH,,335803,India
5,,,,MHOW,MP,453661,India
7276,,,,MADIKERI,KA,571201,India
,,,,BANGALORE,KA,562157,India
,"RD TANDA, ST KANDARI KHURD TANDA",,,JALNA,MH,431202,India
33,"ROAD, RD BLOCK, CROSS RING ROAD",,,BANGALORE,KA,560096,India
B-24,,,,BHIWANDI,MH,421302,India
,,,,BYRNIHAT,ML,793101,India
,ROAD.,,TP NAGAR,NAINITAL,UK,263139,India
R-1,,,,DELHI,DL,110034,India
5,CROSS ASHWINI LAYOUT,,,BANGALORE,,560047,India
