BuildingNumber,StreetAddress,Landmark,Locality,City,State,PostalCode,Country
C-16,,,,KANPUR,,208022,India
151,ST FLOOR,,,SURAT,GJ,395002,India
707,ROAD,BMC OFFICE GHATKOPAR EAST MUMBAI CITY IN 400077,,MUMBAI,,400077,India
,,,,JANJGIR CHAMPA,,495552,India
U-21,,,103 KHB COLONY,BIDAR,,585401,India
,,,,GHAZIABAD,,201010,India
,STREET,,,CHENNAI,,600016,India
F-1601,SECTOR-66 HARYANA GURGAON IN 122018,,SECTOR-66 HARYANA GURGAON IN 122018,GURGAON,,122018,India
381/2,,,,COIMBATORE,TN,641658,India
,,,,DELHI,,110002,India
G-27,,,,SURAT,,395002,India
,,,,BENGALURU,,560002,India
5,"ROAD NO. VILE PARLE EAST MUMBAI CITY, ST MUMBAI CITY",,,MUMBAI,,400057,India
,,,,TINSUKIA,,786125,India
,,,,DELHI,DL,110006,India
,STRICT CENTRE SAKET,,,CENTRE SAKET,,110017,India
139/8/,,,SECRETARIAT COLONY,HYDERABAD,TS,500075,India
194/20-P-7,ROAD,,JALAGANDESWARAR NAGAR,HOSUR,,635109,India
6,,,,DELHI,DL,110096,India
46,SECTOR 62 GAUTAM BUDDHA NAGAR NOIDA NOIDA IN-UP IN 201301,,THE CORENTHUM TOWER TOWER-B 6TH FLOOR OFFICE NO.  SECTOR 62 GAUTAM BUDDHA NAGAR,NOIDA,UP,201301,India
,STRICT CENTRE SAKET,,,CENTRE SAKET,,110017,India
1,,,,MUMBAI,MH,400016,India
,STHAN,,,UDAIPUR,RJ,313001,India
53,ST,,HOUSE NO- FRIENDS COLONY,NEW DELHI,DL,110065,India
,STREET,,,KOLKATA,,700012,India
47,"RDHA ROAD, ST FLOOR, STAN",,HINDUSTAN COLONY,NAGPUR,MH,440015,India
,ROAD,,GOPALNAGAR,GOPALNAGAR,WB,743262,India
259,,,,NAGPUR,MH,440023,India
626,ROAD,HP PETROL PUMP CHAKAN,,PUNE,MH,410501,India
659/2,"ROAD, STOOR ROAD",,,RAICHUR,KA,584123,India
,,,,GUWAHATI,,781031,India
,,,,GHAZIABAD,,201001,India
,ROAD,,,MALOUT,,152107,India
361/24,ST FLOOR,,,BENGALURU,KA,560027,India
54,,,BLOCK 22-23,INDORE,MP,452010,India
202-207,,,VICTORIA II OFFICE NO.  KALYANI NAGAR,PUNE,MH,411006,India
C-187,,,,NEW DELHI,DL,110048,India
38/39,SECTOR 19A,,SECTOR 19A,THANE,MH,400703,India
B-3,,,,BHOPAL,MP,462026,India
,ROAD,SAPRA PALACE AND RESORT LAMBRA,,JALANDHAR,,144026,India
47,STRIES ESTATE KHOLVAD,,,SURAT,GJ,394185,India
,,SIMPLEX CEME WADI NAGPUR IN-MH IN 440023,,NAGPUR,MH,440023,India
3,,,,SOLAN,,173205,India
E-155,"RD, STRIAL AREA",,3RD PHASE,BARMER,,344022,India
,,,,AHMEDABAD,GJ,380015,India
19,,JHARSA CHOWK GURGAON IN-HR IN 122001,SEC-31 NEAR JHARSA CHOWK GURGAON IN-HR IN 122001,GURGAON,HR,122001,India
,,,,JALNA,MH,431203,India
88,STRIAL PARK,,BLOCK NO.  VILLAGE BHAYLA,AHMEDABAD,,382220,India
,,,,AHMADABAD,,380015,India
2-27-2/F,STREET,,,KAKINADA,AP,533003,India
18,"RD NO, ROAD",,,THENI,TN,625516,India
247,,,,ERODE,TN,638112,India
,STRIAL ESTATE,KAMALLAXMI KARYALAY ICHALKARANJI,,KOLHAPUR,,416115,India
,,,,KOLKATA,,743613,India
,STE,,,BENGALURU,,560061,India
10,,,C/O RAMSARAN SINGH BHADORIYA SHANTI NAGAR,SUKMA,CG,494111,India
C-602,,,,PUNE,MH,411011,India
F-47,STRIAL AREA,,,TONK,,304021,India
19,,,,BADDI,,174103,India
499/500,ROAD,,,COIMBATORE,TN,641035,India
,,,,AHMEDABAD,GJ,382330,India
,,,,HOWRAH,,700001,India
1,,,,BANGALORE,,560025,India
11,RD FLOOR,,,DELHI,,110096,India
232,,,,SURAT,,395013,India
221P,ROAD,,PLOT NO. 138 TO 157/A SHANTINAGAR,RAJKOT,GJ,360005,India
E-1,,,PHAS,HYDERABAD,,500055,India
12A,SECTOR-21,,SECTOR-21,BHIWANI,HR,127021,India
F-49,STRIEL AREA,,,TONK,RJ,304021,India
03RD,,,GANDHI NAGAR GANDHINAGAR,GANDHINAGAR,,382355,India
,,,,MUMBAI,,400007,India
50/2,ROAD,,,CHENNAI,TN,600086,India
,,,,BHOPAL,,462023,India
617,"ROAD 5E, STREET",,GANDHINAGAR,GANDHINAGAR,GJ,382355,India
1,RDA TA.KESHOD,,SURVEY NO.32 UDHYOG NAGAR,SONDARDA,GJ,362227,India
,ROAD BORBHETA,,,JORHAT,AS,785005,India
,,,,CHURHAT,,486771,India
,,,GANESH NAGAR BHAVANI NAGAR,BEED,MH,431127,India
,,,,MUMBAI,,400009,India
235,"ROAD, ST NO",,SAS NAGAR,DERA BASSI,,140603,India
,,,,JODHPUR,RJ,342308,India
946,"RD STAGE, STAGE",,,MYSURU,,570023,India
605,ROAD,,BLOCK -A,AHMEDABAD,GJ,380051,India
12,,,,BANGALORE,KA,560046,India
,ST LAYOUT SAIBABA,,30 RAMALINGAM NAGAR 1ST LAYOUT SAIBABA COLONY,COIMBATORE,,641011,India
,,,,SURAT,GJ,394230,India
,STA PETH,,,PUNE,,411011,India
512/A/1,,,BLOCK NO -,VYARA,,394650,India
100,"ST FLOOR, SECTOR-8",,SECTOR-8,DELHI,,110085,India
,,,RAJENDRA NAGAR,ANANTAPUR,,515801,India
30,STRIAL ESTATE,,,PUNE,,411041,India
,ROAD,,,PEHOWA,HR,136128,India
,,REFINERY GATE,,RAMA MANDI,,151301,India
,ROAD,,,LUDHIANA,,141001,India
,STRIAL AREA,,,GOLAGHAT,AS,785614,India
,"ROAD, CROSS ROAD",,,AHMEDABAD,,380015,India
,STHAN,,,RAWATSAR,RJ,335524,India
,,JILLA SEVA SADAN PANVADI ROAD VYARA TAPI IN-GJ IN 394650,,TAPI,GJ,394650,India
548,"CROSS OPP TO SAMARTHANUM SCHOOL, SECTOR IV",,SECTOR IV,BANGALORE,,560102,India
10,,,,RAJKOT,,360005,India
,STRIAL AREA,,BIJOYNAGAR,KAMRUP,,781122,India
K-653,,,,SURAT,GJ,395010,India
,ROAD,,UDHAM SINGH NAGAR,MORADABAD,UK,244713,India
,,,6454 MUKHARJEE GALI GANDHI NAGAR,DELHI,,110031,India
2633,,,,BANGALORE,,560102,India
,ST FLOOR 101,,,AHEMEDABAD,,382418,India
,ROAD,,,AHMEDABAD,GJ,380009,India
,ROAD,,,AHMEDABAD,GJ,387810,India
,,,PHASE,CHENNAI,,600002,India
I-26,ROAD,,,KANNUR,KL,670663,India
,ROAD,,,ERNAKULAM,,683573,India
,,,TAL-GANDHINAGAR GANDHINAGAR,GANDHINAGAR,,382016,India
1826,ROAD,,,AGRA,,282006,India
299,ROAD,,,CHENNAI,,600026,India
205,,,,AJMER,RJ,302006,India
,"STEEL INDUSTRIES, STRIAL AREA",,FOURTH PHASE,MALUR,,563130,India
,,,SARVDHARM COLONY,BHOPAL,,462042,India
,STRIAL AREA,,,BENGALURU,KA,560064,India
155,"ROAD NO. 1C ZONE-1, STATION",,GANDHI NAGAR,GANDHINAGAR,GJ,382355,India
128,,,,MUNDRA,GJ,370421,India
,,,,SURAT,GJ,395006,India
,,VAISHNO DEVI CIRCLE S. G. HIGHWAY AHMEDABAD IN-GJ IN 382421,,AHMEDABAD,GJ,382421,India
,,,,AHMEDABAD,,380015,India
,,,,JAJPUR,OD,755050,India
,STREET,,,MUMBAI,MH,400003,India
271,STREET NO. 1,SEC 25,SEC 25,DELHI,DL,110042,India
N-1,ROAD,RAMI PARK SOCIETY,,SURAT,GJ,394210,India
,"STRIAL AREA, STHAN",,,BIKANER,RJ,334001,India
1-7-1072/A,ROAD,,,HYDERABAD,TS,500020,India
407,,,,SERLINGAMPALLY,TS,500032,India
,,,,KOLKATA,WB,700031,India
E-59,STRIAL AREA,,,PANIPAT,HR,132103,India
A-36,STRIAL AREA,,,FALNA,,306116,India
C-191,"STRIAL AREA, ST DELHI",,PHASE,DELHI,,110064,India
290,,,,HYDERABAD,,500055,India
,,,BHAVANI NAGAR,BANGALORE,,560073,India
,,,,ANDHERI WEST,,400053,India
,,,,NAGPUR,MH,440001,India
,,,,GONDA,,271002,India
77A,,,PH-1 CITY DELHI DELHI IN 110052,DELHI,,110052,India
188,,HALPATI VAS,BLOCK NO,SURAT,GJ,394305,India
8,ST FLOOR,,,KAROL BAGH,,110005,India
100,"ST FLOOR POCKET C-9, SECTOR-8",,SECTOR-8,NEW DELHI,,110085,India
,,,,JABALPUR,,482001,India
11,"ST FLOOR, SECTOR NO.-",,SECTOR NO.-,UDAIPUR,,313001,India
2B,,,SECOND FLOOR,ADITYAPUR,JH,832108,India
449/427,ROAD,,,AJMER,RJ,305801,India
E-3,,BRAHMAND PHAS,AZAD NAGAR,THANE,,400607,India
43,ROAD,,,CHENNAI,,600020,India
,,,,TARALE,,415014,India
20,,NAIK COLLEGE JALNA ROAD AURANGABAD IN-MH IN 431001,,AURANGABAD,MH,431001,India
39-8-1,STREET,,,VIJAYAWADA,AP,520010,India
1,"STRIAL AREA, SECTOR-C",,SECTOR-C,BHOPAL,MP,462023,India
,,,,PANCHKULA,HR,134118,India
K-5,"ROAD, STRAL",,BLOCK- E 201 VRUNDAVAN VATIKA,AHMEDABAD,GJ,382430,India
230,,,,AHMEDABAD,GJ,382330,India
38,ROAD NO. 1 KAKATIYA HILLS,,,HYDERABAD,TS,500033,India
174/1,,,BLOCK MIDC BHOSARI PUNE IN-MH IN 411026,PUNE,MH,411026,India
21,"ROAD NO, ST FLOOR",,,MUMBAI,MH,400093,India
,ST THERESA'S HOSPITAL,,SANATH NAGAR COLONY,BALANAGAR,TS,500018,India
6,,,,KARNAL,HR,132039,India
,,,,BANASKANTHA,GJ,385310,India
,,,,MUMBAI,MH,400028,India
H-51,,,,MYSORE,KA,570009,India
C-3111,RD FLOOR,,,MUMBAI,MH,400051,India
F-110,,,,NASHIK,MH,422008,India
,"ROAD MALAD WEST, STRIAL ESTATE LINK ROAD MALAD WEST",,,MUMBAI,MH,400064,India
651,ST,,,PUNE,MH,410501,India
,,,,KARNAL,HR,132001,India
,ROAD,,,COIMBATORE,TN,641659,India
,,,,INDORE,MP,452001,India
116/24,,,,DELHI,DL,110084,India
,ROAD,,,BANGALORE,KA,560032,India
,"ST), LANE",,,MUMBAI,MH,400092,India
58/1,,,,BANGALORE,KA,560003,India
,,,,HISAR,HR,125001,India
3,ROAD,,,JUNAGADH,GJ,362227,India
C-103,"ST.- KANHA SHANTI VANAM, STRICT",,,.- KANHA SHANTI VANAM,TS,509325,India
320,"ROAD, ST FLOOR",,,SURAT,GJ,394325,India
,,,,MUMBAI,MH,400051,India
,,,,AHMEDABAD,GJ,380001,India
392/P,"ROAD, CROSSING",RAILWAY CROSSING,VITHAL UDYOGNAGAR,ANAND,,388121,India
,SECTOR-II,,P.O. -BISHRA P.S.-RAMNAGAR,KOLKATA,WB,743504,India
205,"ROAD, ST AVENUE AJMER ROAD",,,AJMER,RJ,302006,India
,,,,TINSUKIA,AS,786170,India
,ROAD,,,NEW DELHI,DL,110006,India
2-77,,,,HYDERABAD,,500055,India
16A,,,,ERNAKULAM,KL,682307,India
,,,,KALOL,GJ,389330,India
,,,,PUNE,MH,416007,India
,,,BILASPUR ROAD JAGADHRI YAMUNANAGAR,YAMUNANAGAR,HR,135003,India
50/2,,,S. NO.  PL NO. 8 CHANDAN NAGAR,PUNE,MH,411014,India
,STHI COMPLEX,S M SHETTY HIGH SCHOOL JR COLLEGE CHANDIVALI MUMBAI IN-MH IN 400072,,MUMBAI,MH,400072,India
5,"ST, STEPHEN HOUSE ROOM NO",,PHEN HOUSE ROOM NO,KOLKATA,WB,700001,India
1,,,,SURAT,GJ,394110,India
270,,,,RAJKOT,GJ,360024,India
,,,SADHANANAGAR,VADODARA,GJ,391145,India
200,,SAI GIRNA,,MALEGAON,MH,423201,India
F-302,,,,AHMEDABAD,GJ,382350,India
,,,,AHMEDABAD,GJ,380015,India
,,,,AHMEDABAD,GJ,380009,India
,,,,PUNE,MH,411003,India
,,,,BHATAPARA,CG,493335,India
,,,,MUMBAI,MH,400064,India
,"ROAD, ST FLOOR",,,BANGALORE,KA,560001,India
612,STATE,,,HYDERABAD,TS,500001,India
39,RD NO.,CHAUDHARY PRINTING PRESS PURNEA IN-BR IN 854326,,PURNEA,BR,854326,India
,,,PHASE,GURGAON,HR,122016,India
,ROAD,,,MAHESANA,GJ,382715,India
18,SECTOR -140A GAUTAM BUDDHA NAGAR,,PLOT NO.  SECTOR -140A GAUTAM BUDDHA NAGAR,NOIDA,UP,201301,India
,,,,TOHANA,HR,125120,India
,,,,AHMEDABAD,GJ,380009,India
,STATE,,PHASE,LUDHIANA,PB,141013,India
,"ROAD SIPCOT INDUSTRIAL COMPLEX, STRIAL COMPLEX",,,HOSUR,TN,635126,India
,,,,RANCHI,JH,834001,India
,,,PHASE,GURUGRAM,HR,122016,India
,"ROAD, ST VANUR TALUK",,,VILLUPURAM,TN,605101,India
E-4,,,PHAS PALAM ROAD GURGAON IN-HR IN 122015,GURGAON,HR,122015,India
23,,,,MUMBAI,MH,400086,India
,,,,DALKHOLA,WB,733201,India
B-606,"ROAD, ST. CENT",,,. CENT,MH,400104,India
2-298/2,,,,UDUPI,KA,576213,India
,ROAD,,,BARDHAMAN,WB,713101,India
66,,,,KACHCHH,GJ,370110,India
13/2,,,,PALWAL,HR,121102,India
,ROAD,,,SOLAPUR,MH,413211,India
3012-3014,,,PLOT NO.  PHASE,JAMNAGAR,GJ,361005,India
,,INANI GRANITTE EAST SITE SERVICE ROAD CHITTOR BHILWARA SIX LINE CHITTORGARH IN-RJ IN 312201,,CHITTORGARH,RJ,312201,India
111,ROAD NO. 43,,,NEW DELHI,HR,110034,India
B-2,,,,INDORE,MP,453111,India
13,,RTO OFFICE PURNA NAGAR,NEAR RTO OFFICE PURNA NAGAR,PUNE,MH,411019,India
,,,,RAJKOT,GJ,360002,India
,,,,GADARPUR,UK,263152,India
,"ROAD, CROSS ROAD",,,AHMEDABAD,GJ,380015,India
H-79,,,,BHILWARA,RJ,311001,India
,ROAD,,,MUMBAI,MH,400002,India
06,,,,NEW DELHI,DL,110048,India
,,,,SURAT,GJ,395002,India
,,,,TINSUKIA,AS,786159,India
7,,,,ROHTAK,HR,124001,India
214,STA,,BHAVNAGAR,BHAVNAGAR,GJ,364002,India
161,,,GANDHINAGAR,GANDHINAGAR,GJ,382355,India
,ROAD,,,BAREILLY,UP,243201,India
,,B.D. SR. SEC. SCHOOL AMBALA IN-HR IN 133001,SEC. SCHOOL AMBALA IN-HR IN 133001,AMBALA,HR,133001,India
,,,,MUMBAI,MH,400013,India
,,,,MUMBAI,MH,400013,India
,ST FLOOR,,,VAPI,GJ,396195,India
,,,SADBHAWNA COLONY,BAREILLY,UP,243001,India
,,,,DELHI,DL,110019,India
155/433,"RD INDUSTRIAL AREA, STRIAL AREA, ST DELHI",,,NEW DELHI,DL,110039,India
27/1,,,,MALEGAON,MH,423203,India
,,,,SANGLI,MH,416416,India
611/4544,,,,JAJPUR,OD,754082,India
,"ROAD, ST ROAD",,,KANCHEEPURAM,TN,603303,India
291,ROAD,,,MAHESANA,GJ,384440,India
,RD FLOOR SATYAM RESIDENCE TOWER NEW CITY CENTRE,,,GWALIOR,MP,474002,India
239,ROAD,,,RAJKOT,GJ,363621,India
E-139,"ST MAIN, CROSS",,,BANGALORE,KA,560045,India
1-143,,,R.T.C COLONY,HYDERABAD,TS,501401,India
,,,,VADODARA,GJ,391243,India
,,,,SILIGURI,WB,734001,India
94,STREET,,,VELLORE,TN,632012,India
107,,,,MUMBAI,MH,400021,India
573-C,"STREET, ST EXTENSION",,ANNA NAGAR WEST EXTENSION,CHENNAI,TN,600101,India
V-2,,,VILLAGE VASULI PHASE,PUNE,MH,410501,India
T-3036,LANE,,BLOCK B,HOWRAH,WB,711103,India
4,RD NO.,,ADARSH NAGAR UDHAM SINGH NAGAR,KASHIPUR,UK,244713,India
11,RD NO. 4,,GREEN HILLS COLONY,HYDERABAD,TS,500035,India
G-108,,,,JAIPUR,RJ,303903,India
C-3,"ROAD MALAD(EAST), ST)",,GAUTAM NAGAR,MUMBAI,MH,400097,India
29,,,,BANGALORE,KA,560064,India
1,ST FLR,,,THANE,MH,401208,India
108/109,"ROAD HINGANE KHURD, ST FLOOR OFFICE NO, ST FLOOR",DNS BANK,ANANDNAGAR,PUNE,MH,411051,India
B-28,,,,AHMEDABAD,GJ,380002,India
,,,,BALLARI,KA,583121,India
,"ROAD, ST",,RAMDEV NAGAR,MUMBAI,MH,400086,India
346/A-4,,RAJLAXMI COMPLEX VADPE,,BHIWANDI,MH,421302,India
,STERLING CITY CLUB,,,AHMEDABAD,GJ,380058,India
,,,VIVEK NAGAR,SULTANPUR,UP,228001,India
1,ST FLOOR,,,BANGALORE,KA,560062,India
P-63,STATE,,,AHMEDABAD,GJ,380018,India
1401-B,ROAD,,BLOCK NO.,A PADRA VADODARA IN-GJ IN 391440,GJ,391440,India
,ROAD,,,SHIMOGA,KA,577204,India
,,,,FATEHABAD,HR,125051,India
,,,,HOOGHLY,WB,712409,India
C-61,ROAD,HP PETROL PUMP TRANSPORT NAGAR,BEHIND HP PETROL PUMP TRANSPORT NAGAR,KANPUR,UP,226012,India
10,,,MVP COLONY,VISAKHAPATNAM,AP,530017,India
12/2,STIK INDUSTRIAL AREA,,,RAJKOT,,360024,India
184,ROAD,,,PUNE,,412105,India
1826,,,,AGRA,,282006,India
1815,,,,AGRA,,282006,India
,,,,BALLY MUNCIPALITY,,711204,India
E-161,STRIAL PARK,,,SURAT,,394210,India
1,,,ULHASNAGAR,ULHASNAGAR,MH,421003,India
R-1,"ROAD, STATION ROAD",,,BARDHAMAN,WB,713201,India
,STRIAL AREA,,,GULABPURA (RAJ.),,311021,India
E-311,,,,INDORE,,452010,India
1066,ROAD,ARYA HOTEL LALPUR RANCHI IN-JH IN 834001,,RANCHI,JH,834001,India
R-3,,,,AHMEDABAD,,380014,India
,,,NANDAN KANAN NORTH GANGANAGAR,KOLKATA,WB,700132,India
,,,,SONBHADRA,UP,231216,India
1816,,,,AGRA,,282006,India
133,STREET,,,SALEM,,636001,India
,,,HUTTA COLONY,BHADRAVATHI,KA,577301,India
,ROAD,,,MUMBAI,,400055,India
,ROAD,,,KAITHAL,,136027,India
15295,,,,ANANTNAG,JK,192101,India
,,,,HOWRAH,WB,711409,India
,,,,MUMBAI,MH,400092,India
9,ST FLOOR,,SEC 14 HISSAR IN-HR IN 125001,HISSAR,HR,125001,India
,,,,PARGANAS,,700090,India
,,,,JALANDHAR,PB,144030,India
14,ROAD,,,MUMBAI,,400072,India
849,,,,GUWAHATI,AS,781036,India
,,,,THALAIVASAL,TN,636121,India
E-192,SECTOR-63,,GAUTAM BUDDHA NAGAR,NOIDA,UP,201301,India
A-2,,,,NEW DELHI,DL,110048,India
,,,,KOLKATA,WB,700033,India
,,,,PUNE,MH,411044,India
H-9,,,,DELHI,,110001,India
,,,,KOLKATA,,700020,India
2,,,UNIT-3 KHARVEL NAGAR,BHUBANESWAR,OD,751001,India
504,,,PLOT NO. 34 AND 34A KHANDA COLONY,PANVEL,MH,410206,India
,ROAD,,,LOWER DIBANG VALLEY,AR,792110,India
B-6,RD PLOT-1A,,,MUMBAI,MH,400022,India
,,,,HYDERABAD,KA,584101,India
2601,SECTOR 30A,,SECTOR 30A,THANE,MH,400703,India
C-4,ROAD,,,AHMEDABAD,GJ,382350,India
,ROAD,TARA HOSPITAL PATNA IN-BR IN 800001,,PATNA,BR,800001,India
,ROAD,,,NEW DELHI,DL,110001,India
1,,,SY NO  SARAYYAVALASA VILLAGE DATTIRAJERU MANDAL VIZIANAGAR,IN 535580,,535580,India
10,ST FLOOR,,,DELHI,DL,110026,India
,,,BASAVESHWAR NAGAR,HUBLI,KA,580030,India
,RD,S.R. INTERNATIONAL LUDHIANA IN-PB IN 141010,FOCAL POINT EXTENSION,LUDHIANA,PB,141010,India
76,,,SEC-25,PANIPAT,HR,132103,India
G-27,STRIAL AREA,,,ALWAR,,301701,India
,,,,BENGALURU RURAL,,562111,India
5,,,MOTI NAGAR,DELHI,DL,110015,India
,,DON BOSCO SCHOOL) VILL.- POLSONDA MORE MURSHIDABAD IN-WB IN 742184,,MURSHIDABAD,WB,742184,India
,STA KANPUR KANPUR,,326 BABA NAGAR NAUBASTA KANPUR KANPUR NAGAR,KANPUR,,208027,India
,,,,KOLLAM,KL,691536,India
,ROAD,,,MORADABAD,UP,244001,India
,,,,BAGESHWAR,UK,263619,India
,"ROAD, ST",,,MUMBAI,,400059,India
,,,,THRISSUR,,680001,India
,"ROAD 59 KM STONE, STONE",,,BAREILLY,UP,243503,India
,,,,MUMBAI,MH,400025,India
,,,,AHMEDABAD,,380007,India
,,,,LOWER DIBANG VALLEY,AR,792110,India
,,,,AHMEDABAD,GJ,380059,India
,,,,HOOGLY,WB,712302,India
2,,,,CHENNAI,,600093,India
,ROAD,,,MUMBAI,,400053,India
,,,,TIRUPUR,,641664,India
4,ST DADRA AND,DADRA CHECK POST DADRA AND NAGAR HAVELI ALOK CITY IN-DH IN 396230,208/2/ NEAR DADRA CHECK POST DADRA AND NAGAR,ALOK CITY,DH,396230,India
,,,,AGRA,,282005,India
18/1,,,,OPP WELNESS FOREWER KHADAKPADA KALYAN,,421301,India
,ROAD,,,ERNAKULAM,KL,682020,India
,"ROAD, STRIAL ESTATE",BASKOPA MORE,,BARDHAMAN,,713101,India
C-301,RDAR VALLABHBHAI PATEL MARKETING YARD MORBI ROAD,,,RAJKOT,GJ,360003,India
,,,,PUNE IN 410504,,410504,India
47,,,,KRISHNAGIRI,TN,635109,India
,,,SAMTA NAGAR,BULDHANA,MH,443001,India
847/2,"ROAD, STONE",HOTEL REDSTONE,,NEW DELHI,,110037,India
32,,,PHB HYDERABAD IN-TS IN 500072,HYDERABAD,TS,500072,India
,,,,VADODARA,GJ,390019,India
,,,PHARID CHAMPA JANJGIR CHAMPA IN-CG IN 495671,JANJGIR CHAMPA,CG,495671,India
10-148,"ROAD, STRIES ROAD",,,BICCAVOLU MANDAL,AP,533343,India
27,STRIAL AREA,,,CHICKBALLAPUR,,562101,India
,,,,PATIALA,PB,147006,India
37,,,PLOT NO.  38 ELITE COLONY,HYDERABAD,TS,500087,India
X-2,ST FLOOR,,BLOCK A,AHMEDABAD,GJ,382210,India
534,SECTOR 13 ROHINI,,SECTOR 13 ROHINI,DELHI,DL,110085,India
73,"ST FLOOR, STRIAL AREA",,KIRTI NAGAR,DELHI,DL,110015,India
,,,,AYODHYA,UP,224001,India
26/G,,EUROFLEX TRANSMISSION,,MEDAK,TS,502336,India
F-10,RD FLOOR,,,NEW DELHI,,110070,India
,ST FLOOR,,,MUMBAI,MH,400054,India
B-11,,,,NEW DELHI,DL,110028,India
70,"ST FLOOR, ST",,JOURNALIST COLONY,HYDERABAD,,500033,India
,,,,JAMMU,JK,180015,India
2B,,,,HOOGHLY,WB,712302,India
D-59,,,,VARANASI,UP,221010,India
,ROAD,,,MUMBAI,MH,400052,India
,,,SAROJINI NAGAR,LUCKNOW,UP,226008,India
,,LAXMI NARAYAN TEMPLE,UDHAM SINGH NAGAR RAMNAGAR,RAMNAGAR,UK,244715,India
,,,,AGRA,UP,202001,India
,,,,NAGPUR,MH,440002,India
,,,,MUMBAI,MH,400053,India
,,,PHIRE,AHMEDABAD,GJ,380009,India
O-7,ST FLOOR,BANK OF BARODA KARELIBAUG VADODARA IN-GJ IN 390018,,VADODARA,GJ,390018,India
P-82,ROAD,DELHI PUBLIC SCHOOL SURAT IN-GJ IN 395007,,SURAT,GJ,395007,India
409,STREET 4TH FLOOR,,,KOLKATA,WB,700017,India
,ROAD PACH,COLOURS MALL DHAMTARI ROAD PACH,,RAIPUR,CG,492001,India
42,,,,SURAT,GJ,394110,India
331,,,,PRATAPGARH,UP,230201,India
,STATE OPP. ZYDUS CADILA CHACHARWADI,,,A SANAND,GJ,382213,India
5,,DLF PHASE 3,DLF PHASE,GURGAON,HR,122002,India
,ROAD TURKMAN GATE,,,NEW DELHI,DL,110002,India
01,"ROAD KHAR DANDA, ST",,,MUMBAI,,400052,India
,RD 57 OPP I D HOSPITAL ROAD,,,GUNTUR,AP,522034,India
10,STRIAL COMPLEX,,GHATTI PHASE,KATHUA,JK,184143,India
C-49,,,,KANPUR,UP,208017,India
,,,,MUMBAI,MH,400086,India
001,,,LAXMI NAGAR,NAGPUR,MH,440022,India
5,ROAD NO.,,,KOLKATA,WB,700110,India
73,,,,DAMAN AND DIU,DH,396210,India
F-13,ST FLOOR,,LAXMI NAGAR,DELHI,DL,110092,India
,STREET,,,KOLKATA,WB,700007,India
,"ROAD HSR LAYOUT, SECTOR 4 BANGALORE IN-KA IN 560102",,SECTOR 4 BANGALORE IN-KA IN 560102,BANGALORE,KA,560102,India
3,"RD NO., ROAD",CSD CANTEEN,MOHALLA HARI NAGAR,BHIWANI,HR,127308,India
136,,,NEW MANDI YARD SRI GANGANAGAR,SRI GANGANAGAR,RJ,335001,India
,ROAD,,,INDORE,,452010,India
201,,SHALIMAR BANQUET,,DELHI,DL,110084,India
,,AR CAMP,,THIRUVANANTHAPURAM,KL,695033,India
F-03,,,,VADODARA,GJ,390019,India
,,,,JODHPUR,GJ,380054,India
E-25,,,,JALNA,MH,431203,India
604,ROAD,ISCKON JUNCTION,,AHMEDABAD,GJ,380058,India
,,HOTEL SKY LARK,,JALANDHAR,PB,144001,India
46,,,,JALGAON,MH,425001,India
C-1120,"ST FLOOR, ST",,,MUMBAI,MH,400051,India
16,,,,RAICHUR,KA,584102,India
224,ROAD,,,KRISHNA,AP,521180,India
D-232,,AUTOMOTIVE MARUTI SHOWROOM,,MUMBAI,MH,400706,India
G-28,RDHMAN A.C. MARKET,,,DELHI,,110092,India
,,,NAGLA UDHAM SINGH NAGAR,NANAKMATTA,UK,262311,India
B-5,ROAD,,,JAIPUR,,303007,India
,,,,LAKHIMPUR KHIRI,UP,262701,India
,,WARYAM SINGH HOSPITAL,,AMRITSAR,,143001,India
,ROAD,,RATNAGIRI NAGAR,GUNTUR,,522006,India
155,,,,MUMBAI,MH,400012,India
123,,,,CHENNAI,TN,600034,India
,ST FLOOR,,GANDHI NAGAR,MUMBAI,MH,400067,India
,ROAD,,,CHENNAI,TN,600034,India
,ROAD,,,CHENNAI,TN,600034,India
,ROAD,,,BANGALORE,,560091,India
3,SECTOR-1,,SECTOR-1,DELHI,DL,110085,India
4F,RD FLOOR,,,KOLKATA,WB,700048,India
,ROAD,,,BENGALURU,KA,560091,India
52/A,,,,MALEGAON,MH,423203,India
,"ROAD, STATION",RAILWAY STATION,,UDUMALPET,TN,642126,India
C-4,,,,DELHI,DL,110016,India
H-37,,,PHASE,DELHI,DL,110064,India
,ROAD,,SHIVAJINAGAR,BANGALORE,KA,560051,India
B-2,,,GOMTI NAGAR,LUCKNOW,UP,226010,India
,STREET,,,MUMBAI,MH,400093,India
,"ROAD NR. NEHRU CENTER, STATE",,,MUMBAI,MH,400018,India
B-2,,,GOMTINAGAR,LUCKNOW,UP,226010,India
97/1,STRIAL ESTATE,,SOUTH PHASE,AMBATTUR,,600058,India
99,STRIAL ESTATE,,,AHMEDABAD,GJ,382425,India
22C,,,MOTITALAV BHAVNAGAR,BHAVNAGAR,,364004,India
3-165,ROAD,,,PEDDAPURAM IN 533437,,533437,India
,,,,VADODARA,GJ,390013,India
C-2,,,,GURGAON,HR,122017,India
401,,,,PANJIM,,403001,India
